Date,ULSP_Price,ULSD_Price,ULSP_Duty,ULSD_Duty
2024-01-29,1.3991,1.4856,0.5295000000000001,0.5295000000000001
2024-02-05,1.4055000000000002,1.4935,0.5295000000000001,0.5295000000000001
2024-02-12,1.4128,1.5028,0.5295000000000001,0.5295000000000001
2024-02-19,1.4286,1.5208000000000002,0.5295000000000001,0.5295000000000001
2024-02-26,1.4396,1.5329,0.5295000000000001,0.5295000000000001
2024-03-04,1.4472999999999998,1.5453,0.5295000000000001,0.5295000000000001
2024-03-11,1.4469999999999998,1.5429,0.5295000000000001,0.5295000000000001
2024-03-18,1.4472999999999998,1.5381,0.5295000000000001,0.5295000000000001
2024-03-25,1.4506,1.539,0.5295000000000001,0.5295000000000001
2024-04-01,1.4625,1.56,0.5295000000000001,0.5295000000000001
2024-04-08,1.4691,1.5629,0.5295000000000001,0.5295000000000001
2024-04-15,1.4849,1.5746,0.5295000000000001,0.5295000000000001
2024-04-22,1.4921,1.5798,0.5295000000000001,0.5295000000000001
2024-04-29,1.4949,1.5798,0.5295000000000001,0.5295000000000001
2024-05-06,1.4953999999999998,1.5763999999999998,0.5295000000000001,0.5295000000000001
2024-05-13,1.4923,1.5708000000000002,0.5295000000000001,0.5295000000000001
2024-05-20,1.4883000000000002,1.5621,0.5295000000000001,0.5295000000000001
2024-05-27,1.4765,1.543,0.5295000000000001,0.5295000000000001
2024-06-03,1.4727,1.5326,0.5295000000000001,0.5295000000000001
2024-06-10,1.4625,1.5199,0.5295000000000001,0.5295000000000001
2024-06-17,1.4509,1.507,0.5295000000000001,0.5295000000000001
2024-06-24,1.4443,1.5012,0.5295000000000001,0.5295000000000001
2024-07-01,1.4428,1.5006,0.5295000000000001,0.5295000000000001
2024-07-08,1.4445,1.5038999999999998,0.5295000000000001,0.5295000000000001
2024-07-15,1.446,1.5056,0.5295000000000001,0.5295000000000001
2024-07-22,1.4469,1.5059,0.5295000000000001,0.5295000000000001
2024-07-29,1.4419,1.5016,0.5295000000000001,0.5295000000000001
2024-08-05,1.4342,1.491,0.5295000000000001,0.5295000000000001
2024-08-12,1.4291,1.4848,0.5295000000000001,0.5295000000000001
