Date,Price,Open,High,Low,Change %
2020-11-06,1.3156,1.3144,1.3179,1.3093,0.0011
2020-11-05,1.3142,1.299,1.3156,1.293,0.0121
2020-11-04,1.2985,1.306,1.3141,1.2914,-0.005600000000000001
2020-11-03,1.3058,1.2916,1.308,1.2903,0.0113
2020-11-02,1.2912,1.2946,1.2954,1.2854,-0.0022
2020-10-30,1.2941,1.2929,1.2989,1.2898,0.0012
2020-10-29,1.2926,1.2983,1.3027,1.2881,-0.0042
2020-10-28,1.2981,1.3046,1.3064,1.2917,-0.0048
2020-10-27,1.3043,1.3019,1.3081,1.3001,0.0015
2020-10-26,1.3023,1.3048,1.3076,1.2993,-0.0013
2020-10-23,1.304,1.3083,1.3125,1.3019,-0.0031
2020-10-22,1.3081,1.315,1.3156,1.307,-0.0048
2020-10-21,1.3144,1.2945,1.3178,1.2937,0.0155
2020-10-20,1.2944,1.2952,1.298,1.291,-0.0002
2020-10-19,1.2947,1.2915,1.3025,1.2889,0.0026
2020-10-16,1.2913,1.2916,1.2963,1.2863,-0.0001
2020-10-15,1.2914,1.301,1.3031,1.289,-0.0075
2020-10-14,1.3011,1.2938,1.3066,1.2862,0.006
2020-10-13,1.2934,1.3064,1.3074,1.2922,-0.01
2020-10-12,1.3064,1.3028,1.3084,1.3005,0.0014000000000000002
2020-10-09,1.3046,1.2935,1.3051,1.292,0.0087
2020-10-08,1.2933,1.2919,1.2971,1.2891,0.0012
2020-10-07,1.2918,1.2886,1.2931,1.2845,0.0032
2020-10-06,1.2877,1.2978,1.3008,1.2866,-0.0077
2020-10-05,1.2977,1.2934,1.2992,1.2899,0.0036
2020-10-02,1.2931,1.2893,1.2956,1.2837,0.0033
2020-10-01,1.2889,1.2919,1.298,1.2819,-0.0021
2020-09-30,1.2916,1.2864,1.2944,1.2805,0.0043
2020-09-29,1.2861,1.2836,1.2903,1.2822,0.0027
2020-09-28,1.2827,1.2748,1.2927,1.2744,0.0064
2020-09-25,1.2745,1.2754,1.2806,1.2687,-0.0003
2020-09-24,1.2749,1.2724,1.2782,1.2689,0.0021
2020-09-23,1.2722,1.2733,1.2778,1.2675,-0.0007000000000000001
2020-09-22,1.2731,1.2812,1.2868,1.2711,-0.006500000000000001
2020-09-21,1.2814,1.2923,1.2967,1.2775,-0.0078000000000000005
2020-09-18,1.2915,1.2973,1.3001,1.2915,-0.0044
2020-09-17,1.2972,1.2966,1.3,1.2864,0.0005
2020-09-16,1.2965,1.2889,1.3008,1.2875,0.0060999999999999995
2020-09-15,1.2886,1.2841,1.2927,1.2815,0.0033
2020-09-14,1.2844,1.2803,1.292,1.2776,0.004
2020-09-11,1.2793,1.28,1.2866,1.2763,-0.0008
2020-09-10,1.2803,1.3003,1.3036,1.2773,-0.0152
2020-09-09,1.3,1.2982,1.3024,1.2884,0.001
2020-09-08,1.2987,1.317,1.318,1.298,-0.013600000000000001
2020-09-07,1.3166,1.3274,1.3285,1.3141,-0.0087
2020-09-04,1.3282,1.3282,1.332,1.3176,0.0002
2020-09-03,1.328,1.3349,1.3358,1.3242,-0.0054
